ace
af
als
am
ang
an
ar
arz
as
ast
av
ay
azb
az
ba
bar
bat-smg
bcl
be
be-tarask
bg
bh
bjn
bn
bo
bpy
br
bs
bxr
ca
cbk-zam
cdo
ceb
ce
chr
ckb
co
crh
csb
cs
cv
cy
da
de
diq
dsb
dty
dv
el
eml
en
eo
es
et
eu
ext
fa
fi
fiu-vro
fo
fr
frp
fur
fy
gag
ga
gd
glk
gl
gn
gom
gu
gv
hak
ha
he
hif
hi
hr
hsb
ht
hu
hy
ia
id
ie
ig
ilo
io
is
it
jam
ja
jbo
jv
kaa
kab
ka
kbd
kk
km
kn
koi
ko
krc
ksh
ku
kv
kw
ky
lad
la
lb
lez
lg
lij
li
lmo
ln
lo
lrc
ltg
lt
lv
mai
map-bms
mdf
mg
mhr
min
mi
mk
ml
mn
mrj
mr
ms
mt
mwl
my
myv
mzn
nah
nap
nds-nl
nds
ne
new
nl
nn
no
nrm
nso
nv
oc
olo
om
or
os
pag
pam
pa
pap
pcd
pdc
pfl
pl
pnb
ps
pt
qu
rm
roa-rup
roa-tara
ro
rue
ru
rw
sah
sa
scn
sco
sc
sd
se
sh
si
sk
sl
sn
so
sq
srn
sr
stq
su
sv
sw
szl
ta
tcy
te
tet
tg
th
tk
tl
tn
to
tr
tt
tyv
udm
ug
uk
ur
uz
vec
vep
vi
vls
vo
wa
war
wo
wuu
xh
xmf
yi
yo
zea
zh-classical
zh-min-nan
zh
zh-yue
ab
ak
haw
ab
pi
xal
nov
kl
arc
na
ki
tpi
